DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Oklahoma. February 04, 1930 141 Okla. 193 284 P. 648
Extracted from page: 23
","Massey v. Tucker, No. 19239, 1930 OK 64, 141 Okla. 193, 284 P. 648 (Okla. Feb. 04, 1930)
","Feb. 04, 1930",Oklahomasup,Overruled by," 1.  Jepeway v. Barrett 
25 P.2d 661 , 165 Okla. 220 , 1933 OK 461 , Okla. , (NO. 21624 )
","Sep. 12, 1933"
"Supreme Court of Oklahoma. January 07, 1930 141 Okla. 69 283 P. 1018
Extracted from page: 25
","Thompson v. Kiester, No. 18573, 1930 OK 17, 141 Okla. 69, 283 P. 1018 (Okla. Jan. 07, 1930)
","Jan. 07, 1930",Oklahomasup,Overruled by," 1.  Dolese Bros. v. Tollett  
19 P.2d 570 , 162 Okla. 158 , 1933 OK 141 , Okla. , (NO. 22611 )
","Feb. 28, 1933"
"Supreme Court of Oklahoma. April 05, 1977 563 P.2d 125 1977 WL 489223
Extracted from page: 27
","Matter of Suntide Inn Motel, Oklahoma City, No. 50588, 1977 OK 62, 563 P.2d 125, 1977 WL 489223 (Okla. Apr. 05, 1977)
","Apr. 05, 1977",Oklahomasup,Overruled by," 1.  Independent School Dist. No. 89 of Oklahoma County v. City of Oklahoma City 
722 P.2d 1212 , 34 Ed. Law Rep. 307 , 1986 OK 47 , Okla. , (NO. 61437 , 61442 )
","July 22, 1986"
"Supreme Court of Oklahoma. December 20, 1977 574 P.2d 1026 1977 WL 509391
Extracted from page: 27
","Matter of Keyes, No. 49717, 1977 OK 246, 574 P.2d 1026, 1977 WL 509391 (Okla. Dec. 20, 1977)
","Dec. 20, 1977",Oklahomasup,Overruled by," 1.  A.E. v. State 
743 P.2d 1041 , 56 USLW 2147 , 1987 OK 76 , Okla. , (NO. 64831 )
","July 21, 1987"
"Supreme Court of Oklahoma. July 26, 1977 568 P.2d 629 1977 WL 507981
Extracted from page: 28
","Hicks v. State Farm Mut. Auto. Ins. Co., No. 49713, 1977 OK 150, 568 P.2d 629, 1977 WL 507981 (Okla. July 26, 1977)
","July 26, 1977",Oklahomasup,Overruled by," 1.  Beauchamp By and Through Beauchamp v. Southwestern Nat. Ins. Co. 
746 P.2d 673 , 1987 OK 111 , Okla. , (NO. 66293 )
","Nov. 10, 1987"
"Supreme Court of Oklahoma. November 22, 1977 572 P.2d 1283 1977 WL 509196
Extracted from page: 28
","J. V. v. State, Dept. of Institutions, Social and Rehabilitative Services, No. 48897, 1977 OK 224, 572 P.2d 1283, 1977 WL 509196 (Okla. Nov. 22, 1977)
","Nov. 22, 1977",Oklahomasup,Overruled by," 1.  A.E. v. State 
743 P.2d 1041 , 56 USLW 2147 , 1987 OK 76 , Okla. , (NO. 64831 )
","July 21, 1987"
"Supreme Court of the Territory of Oklahoma. February 15, 1907 18 Okla. 378 92 P. 389
Extracted from page: 29
","Proctor v. Territory, 1907 OK 53, 18 Okla. 378, 92 P. 389 (Okla.Terr. Feb. 15, 1907)
","Feb. 15, 1907",Oklahomasup,Overruled by," 1.  Johnson v. State 
140 P. 622 , 10 Okla.Crim. 597 , 1914 OK CR 43 , Okla.Crim.App. , (NO. A-1747 )
","May 07, 1914"
"04, 1907 19 Okla. 115 91 P. 864
Extracted from page: 29
","Rogers v. McCord-Collins Mercantile Co., 1907 OK 85, 19 Okla. 115, 91 P. 864 (Okla.Terr. Sep. 04, 1907)
","Sep. 04, 1907",Oklahomasup,Overruled by," 1.  Lausten v. Lausten 
154 P. 1182 , 55 Okla. 518 , 1916 OK 71 , Okla. , (NO. 7274 )
","Jan. 18, 1916"
"05, 1907 19 Okla. 422 91 P. 714
Extracted from page: 31
","Block v. Pearson, 1907 OK 96, 19 Okla. 422, 91 P. 714 (Okla.Terr. Sep. 05, 1907)
","Sep. 05, 1907",Oklahomasup,Overruled by," 1.  First Nat. Bank of Shawnee v. Oklahoma Nat. Bank of Shawnee 
118 P. 574 , 29 Okla. 411 , 1911 OK 121 , Okla.
","Mar. 21, 1911"
"Supreme Court of the Territory of Oklahoma. February 14, 1907 18 Okla. 287 90 P. 19
Extracted from page: 32
","Buxton v. Alton-Dawson Mercantile Co., 1907 OK 10, 18 Okla. 287, 90 P. 19 (Okla.Terr. Feb. 14, 1907)
","Feb. 14, 1907",Oklahomasup,Overruled by," 1.  Spaulding v. Polley  
115 P. 864 , 28 Okla. 764 , 1911 OK 195 , Okla.
","May 09, 1911"
