DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Minnesota. April 28, 1944 217 Minn. 296 14 N.W.2d 286
Extracted from page: 44
","De Rosier v. Jay W. Craig Co., No. 33667, 217 Minn. 296, 14 N.W.2d 286 (Minn. Apr. 28, 1944)
","Apr. 28, 1944",Minnesota,Overruled by," 2.  Hubbard v. Midland Constructors, Inc. 
131 N.W.2d 209 , 269 Minn. 425 , Minn. , (NO. 39282 )
","Nov. 06, 1964"
"Supreme Court of Minnesota. October 20, 1944 218 Minn. 353 16 N.W.2d 289
Extracted from page: 46
","Moeller v. St. Paul City Ry. Co., No. 33858, 218 Minn. 353, 16 N.W.2d 289, 156 A.L.R. 371 (Minn. Oct. 20, 1944)
","Oct. 20, 1944",Minnesota,Overruled by," 1.  Te Poel v. Larson 
53 N.W.2d 468 , 236 Minn. 482 , Minn. , (NO. 35674 )
","May 09, 1952"
"Supreme Court of Minnesota. March 10, 1944 216 Minn. 566 13 N.W.2d 739
Extracted from page: 46
","Seebold v. Eustermann, No. 33508, 216 Minn. 566, 13 N.W.2d 739, 152 A.L.R. 585 (Minn. Mar. 10, 1944)
","Mar. 10, 1944",Minnesota,Overruled by," 1.  Utterberg v. Cameron 
282 N.W.2d 536 , Minn. , (NO. 49653 )
","July 20, 1979"
"Supreme Court of Minnesota. February 06, 1883 30 Minn. 186 14 N.W. 877
Extracted from page: 56
","Altnow v. Town of Sibley, 30 Minn. 186, 14 N.W. 877, 44 Am. Rep. 191 (Minn. Feb. 06, 1883)
","Feb. 06, 1883",Minnesota,Overruled by," 1.  Spanel v. Mounds View School Dist. No. 621 
118 N.W.2d 795 , 264 Minn. 279 , Minn. , (NO. 38513 )
","Dec. 14, 1962"
"Supreme Court of Minnesota. June 06, 1883 30 Minn. 433 15 N.W. 873
Extracted from page: 56
","Knudson v. Curley, 30 Minn. 433, 15 N.W. 873 (Minn. June 06, 1883)
","June 06, 1883",Minnesota,Overruled by," 1.  Palmer v. Yorks 
79 N.W. 587 , 77 Minn. 20 , Minn.
","June 14, 1899"
"Supreme Court of Minnesota. February 08, 1883 30 Minn. 206 14 N.W. 897
Extracted from page: 57
","Ross v. Evans, 30 Minn. 206, 14 N.W. 897 (Minn. Feb. 08, 1883)
","Feb. 08, 1883",Minnesota,Overruled by," 1.  Graham v. Conrad 
69 N.W. 215 , 66 Minn. 470 , Minn.
","Dec. 17, 1896"
"Supreme Court of Minnesota. March 09, 1883 30 Minn. 294 15 N.W. 170
Extracted from page: 57
","Mayall v. City of St. Paul, 30 Minn. 294, 15 N.W. 170 (Minn. Mar. 09, 1883)
","Mar. 09, 1883",Minnesota,Overruled by," 1.  Albrecht v. City of St. Paul
50 N.W. 608 , 47 Minn. 531 , Minn.
","Dec. 21, 1891"
"Supreme Court of Minnesota. March 09, 1883 30 Minn. 294 15 N.W. 170
Extracted from page: 57
","Mayall v. City of St. Paul, 30 Minn. 294, 15 N.W. 170 (Minn. Mar. 09, 1883)
","Mar. 09, 1883",Minnesota,Overruled by," 2.  Fajder v. Village of Aitkin 
92 N.W. 332 , 87 Minn. 445 , Minn.
","Nov. 21, 1902"
"Supreme Court of Minnesota. November 24, 1883 31 Minn. 244 17 N.W. 381
Extracted from page: 58
","Donohue v. Stearns, 31 Minn. 244, 17 N.W. 381 (Minn. Nov. 24, 1883)
","Nov. 24, 1883",Minnesota,Overruled by," 1.  Wheeler v. Winnebago Paper Mills 
64 N.W. 920 , 62 Minn. 429 , Minn.
","Nov. 15, 1895"
"Supreme Court of Minnesota. November 25, 1921 150 Minn. 364 185 N.W. 388
Extracted from page: 60
","Donovan v. Duluth St. Ry. Co., No. 22500, 150 Minn. 364, 185 N.W. 388 (Minn. Nov. 25, 1921)
","Nov. 25, 1921",Minnesota,Abrogated by," 1.  Gomon v. Northland Family Physicians, Ltd. 
645 N.W.2d 413 , Minn. , (NO. C8-00-1465 )
","June 13, 2002"
"Supreme Court of Minnesota. December 27, 1929 179 Minn. 104 228 N.W. 352
Extracted from page: 1
","Cederberg v. Nelson, No. 27569, 179 Minn. 104, 228 N.W. 352 (Minn. Dec. 27, 1929)
","Dec. 27, 1929",Minnesota,Overruled by," 1.  Johnson v. O’Brien 
105 N.W.2d 244 , 258 Minn. 502 , 88 A.L.R.2d 577 , Minn. , (NO. 37800 , 37801 )
","July 29, 1960"
"Supreme Court of Minnesota. May 17, 1929 177 Minn. 465 225 N.W. 426
Extracted from page: 2
","Billmayer v. Sanford, No. 27278, 177 Minn. 465, 225 N.W. 426 (Minn. May 17, 1929)
","May 17, 1929",Minnesota,Overruled by," 1.  Anderson v. Ueland 
267 N.W. 927 , 197 Minn. 518 , Minn. , (NO. 30766 )
","Aug. 21, 1936"
"Supreme Court of Minnesota. May 10, 1929 177 Minn. 446 225 N.W. 292
Extracted from page: 4
","Mokovich v. Independent School Dist. of Virginia, No. 22, No. 27314, 177 Minn. 446, 225 N.W. 292 (Minn. May 10, 1929)
","May 10, 1929",Minnesota,Overruled by," 1.  Spanel v. Mounds View School Dist. No. 621 
118 N.W.2d 795 , 264 Minn. 279 , Minn. , (NO. 38513 )
","Dec. 14, 1962"
"Supreme Court of Minnesota. March 01, 1929 176 Minn. 483 223 N.W. 908
Extracted from page: 5
","Holmes v. Schnedler, No. 26963, 176 Minn. 483, 223 N.W. 908 (Minn. Mar. 01, 1929)
","Mar. 01, 1929",Minnesota,Overruled by," 1.  Midland Loan Finance Co. v. Osterberg  
275 N.W. 681 , 201 Minn. 210 , 113 A.L.R. 649 , Minn. , (NO. 31358 )
","Nov. 05, 1937"
