DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of California. March 08, 1895 106 Cal. 237 39 P. 762
Extracted from page: 42
","Vernon Irr. Co. v. City of Los Angeles, No. 19,388, 106 Cal. 237, 39 P. 762 (Cal. Mar. 08, 1895)
","Mar. 08, 1895",California,Overruled by," 1.  Beckett v. City of Petaluma 
153 P. 20 , 171 Cal. 309 , Cal. , (NO. 6531 )
","Nov. 06, 1915"
"Supreme Court of California. July 16, 1891 90 Cal. 213 27 P. 192
Extracted from page: 44
","Stovell v. Neal, No. 14,103, 90 Cal. 213, 27 P. 192 (Cal. July 16, 1891)
","July 16, 1891",California,Overruled by," 1.  Kiessig v. Allspaugh 
34 P. 106 , 99 Cal. 452 , Cal. , (NO. 19,134 )
","Aug. 31, 1893"
"Supreme Court of California. February 28, 1891 88 Cal. 140 26 P. 97
Extracted from page: 60
","People v. McGreggor, No. 20,775, 88 Cal. 140, 26 P. 97 (Cal. Feb. 28, 1891)
","Feb. 28, 1891",California,Overruled by," 1.  People v. Posey 
8 Cal.Rptr.3d 551 , 82 P.3d 755 , 32 Cal.4th 193 , 04 Cal. Daily Op. Serv. 542 , 2004 Daily Journal D.A.R. 730 , Cal. , (NO. S100360 )
","Jan. 22, 2004"
"Supreme Court of California. April 01, 1876 51 Cal. 319 1876 WL 1636
Extracted from page: 2
","People v. Fisher, No. 10,206, 51 Cal. 319, 1876 WL 1636 (Cal. Apr. 01, 1876)
","Apr. 01, 1876",California,Overruled by," 1.  People v. Simon 
108 Cal.Rptr.2d 385 , 25 P.3d 598 , 25 Cal.4th 1082 , 01 Cal. Daily Op. Serv. 5288 , 2001 Daily Journal D.A.R. 6517 , Cal. , (NO. S077866 )
","June 25, 2001"
"02, 2012 54 Cal.4th 1302 281 P.3d 412
Extracted from page: 10
","People v. McKinzie, No. S081918, 54 Cal. 4th 1302, 281 P.3d 412, 144 Cal. Rptr. 3d 427, 12 Cal. Daily Op. Serv. 8748, 2012 Daily Journal D.A.R. 10693, 2012 WL 3116956 (Cal. Aug. 02, 2012)
","Aug. 02, 2012",California,Abrogated by," 1.  People v. Scott  
188 Cal.Rptr.3d 328 , 349 P.3d 1028 , 61 Cal.4th 363 , 15 Cal. Daily Op. Serv. 5720 , Cal. , (NO. S064858 )
","June 08, 2015"
"16, 2012 54 Cal.4th 758 281 P.3d 1
Extracted from page: 11
","People v. Riccardi, No. S056842, 54 Cal. 4th 758, 281 P.3d 1, 144 Cal. Rptr. 3d 84, 12 Cal. Daily Op. Serv. 7966, 2012 Daily Journal D.A.R. 9749, 2012 WL 2874237 (Cal. July 16, 2012)
","July 16, 2012",California,Abrogated by," 1.  People v. Rangel 
200 Cal.Rptr.3d 265 , 367 P.3d 649 , 62 Cal.4th 1192 , 16 Cal. Daily Op. Serv. 3202 , 2016 Daily Journal D.A.R. 2903 , Cal. , (NO. S076785 )
","Mar. 28, 2016"
"Bank. September 30, 1946 29 Cal.2d 87 173 P.2d 1
Extracted from page: 32
","People v. Koenig, No. CR 4714, 29 Cal. 2d 87, 173 P.2d 1 (Cal. Sep. 30, 1946)
","Sep. 30, 1946",California,Overruled by," 1.  People v. Gould 
7 Cal.Rptr. 273 , 354 P.2d 865 , 54 Cal.2d 621 , Cal. , (NO. CR. 6617 )
","Aug. 23, 1960"
"California April 23, 1946 28 Cal.2d 33 168 P.2d 686
Extracted from page: 32
","Empire Star Mines Co. v. California Employment Commission, No. SAC 5680, 28 Cal. 2d 33, 168 P.2d 686 (Cal. Apr. 23, 1946)
","Apr. 23, 1946",California,Overruled by," 1.  People v. Sims 
186 Cal.Rptr. 77 , 651 P.2d 321 , 32 Cal.3d 468 , Cal. , (NO. CR. 22265 )
","Sep. 27, 1982"
"Bank. June 27, 1946 28 Cal.2d 509 170 P.2d 928
Extracted from page: 33
","City of Los Angeles v. Cole, No. L.A. 19575, 28 Cal. 2d 509, 170 P.2d 928 (Cal. June 27, 1946)
","June 27, 1946",California,Overruled by," 1.  Los Angeles County v. Faus  
312 P.2d 680 , 48 Cal.2d 672 , Cal. , (NO. L.A. 24444 )
","June 21, 1957"
"Supreme Court of California. February 01, 1944 23 Cal.2d 670 145 P.2d 580
Extracted from page: 39
","People v. Kolez, No. CR. 4507, 23 Cal. 2d 670, 145 P.2d 580 (Cal. Feb. 01, 1944)
","Feb. 01, 1944",California,Overruled by," 1.  People v. Green  
302 P.2d 307 , 47 Cal.2d 209 , Cal. , (NO. CR. 5782 )
","Oct. 19, 1956"
