DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Tennessee. March 02, 1946 19 Beeler 428 183 Tenn. 428
Extracted from page: 3
","Quinley v. Cocke, 183 Tenn. 428, 192 S.W.2d 992, 19 Beeler 428 (Tenn. Mar. 02, 1946)
","Mar. 02, 1946",Tennessee,Overruled by," 1.  Seavers v. Methodist Medical Center of Oak Ridge 
9 S.W.3d 86 , Tenn. , (NO. E199700044SCR11CV )
","Nov. 29, 1999"
"Supreme Court of Tennessee. March 23, 1893 92 Tenn. 444 21 S.W. 888
Extracted from page: 5
","Bobo v. People's Nat. Bank, 92 Tenn. 444, 21 S.W. 888, 8 Pickle 444 (Tenn. Mar. 23, 1893)
","Mar. 23, 1893",Tennessee,Overruled by," 1.  Meredith v. American Nat. Bank of Sparta 
153 S.W. 479 , 19 Cates 90 , 127 Tenn. 90 , Tenn.
","Feb. 15, 1913"
"Supreme Court of Tennessee. December 01, 1945 19 Beeler 53 183 Tenn. 53
Extracted from page: 6
","Mullendore v. State, 183 Tenn. 53, 191 S.W.2d 149, 19 Beeler 53 (Tenn. Dec. 01, 1945)
","Dec. 01, 1945",Tennessee,Overruled by," 1.  State v. Buggs 
995 S.W.2d 102 , Tenn. , (NO. 02S01-9803-CR-00020 )
","June 28, 1999"
"Supreme Court of Tennessee. September 01, 1866 43 Tenn. 157 1866 WL 1796
Extracted from page: 8
","Thornburg v. Harris, 43 Tenn. 157, 3 Cold. 157, 1866 WL 1796 (Tenn. Sep. 01, 1866)
","Sep. 01, 1866",Tennessee,Overruled by," 1.  Sherfy v. Argenbright 
48 Tenn. 128 , 1870 WL 2626 , 1 Heisk. 128 , 2 Am.Rep. 690 , Tenn.
","Sep. 01, 1870"
"Supreme Court of Tennessee. June 24, 1921 144 Tenn. 311 232 S.W. 445
Extracted from page: 14
","Taylor v. Taylor, 144 Tenn. 311, 232 S.W. 445, 17 Thompson 311 (Tenn. June 24, 1921)
","June 24, 1921",Tennessee,Overruled by," 1.  Morrissey v. Morrissey 
377 S.W.2d 944 , 18 McCanless 112 , 214 Tenn. 112 , Tenn.
","Apr. 08, 1964"
"Supreme Court of Tennessee. February 07, 1972 477 S.W.2d 9
Extracted from page: 15
","Cockrell v. B & S Concrete Supply, 477 S.W.2d 9 (Tenn. Feb. 07, 1972)
","Feb. 07, 1972",Tennessee,Overruled by," 1.  Betts v. Tom Wade Gin  
810 S.W.2d 140 , Tenn. , (NO. 1 )
","May 06, 1991"
"Supreme Court of Tennessee. May 15, 1972 480 S.W.2d 528
Extracted from page: 15
","Phillips v. Fleetguard Division of Cummins Engine Co., 480 S.W.2d 528 (Tenn. May 15, 1972)
","May 15, 1972",Tennessee,Overruled by," 1.  Russell v. Genesco, Inc. 
651 S.W.2d 206 , Tenn.
","May 09, 1983"
"Supreme Court of Tennessee. September 05, 1972 484 S.W.2d 534
Extracted from page: 15
","Acres v. State, 484 S.W.2d 534 (Tenn. Sep. 05, 1972)
","Sep. 05, 1972",Tennessee,Overruled by," 1.  State v. Briggs 
533 S.W.2d 290 , Tenn.
","Feb. 02, 1976"
"Supreme Court of Tennessee. October 02, 1972 485 S.W.2d 545
Extracted from page: 16
","State Farm Mut. Auto. Ins. Co. v. Barnette, 485 S.W.2d 545 (Tenn. Oct. 02, 1972)
","Oct. 02, 1972",Tennessee,Overruled by," 1.  State Auto. Mut. Ins. Co. v. Cummings 
519 S.W.2d 773 , Tenn.
","Feb. 18, 1975"
"Supreme Court of Tennessee. May 07, 1972 494 S.W.2d 756
Extracted from page: 17
","Shoffner v. State Farm Mut. Auto. Ins. Co., 494 S.W.2d 756 (Tenn. May 07, 1972)
","May 07, 1972",Tennessee,Overruled by," 1.  State Auto. Mut. Ins. Co. v. Cummings 
519 S.W.2d 773 , Tenn.
","Feb. 18, 1975"
"Supreme Court of Tennessee. June 05, 1972 481 S.W.2d 755
Extracted from page: 18
","Winters v. Maxey, 481 S.W.2d 755 (Tenn. June 05, 1972)
","June 05, 1972",Tennessee,Abrogated by," 1.  Hataway v. McKinley  
830 S.W.2d 53 , Tenn.
","Apr. 27, 1992"
"Supreme Court of Tennessee. April 01, 1857 4 Sneed (TN) 473 36 Tenn. 473
Extracted from page: 19
","Whitby v. Whitby, 36 Tenn. 473, 4 Sneed (TN) 473, 1857 WL 2513 (Tenn. Apr. 01, 1857)
","Apr. 01, 1857",Tennessee,Overruled by," 1.  Blair v. Brownson  
197 S.W.3d 681 , Tenn. , (NO. E2004-00817-SC-R11CV )
","July 11, 2006"
"Supreme Court of Tennessee. May 01, 1959 8 McCanless 615 204 Tenn. 615
Extracted from page: 20
","Crocker v. State, 204 Tenn. 615, 325 S.W.2d 234, 8 McCanless 615 (Tenn. May 01, 1959)
","May 01, 1959",Tennessee,Overruled by," 1.  State v. Irvin 
603 S.W.2d 121 , Tenn.
","July 28, 1980"
"Supreme Court of Tennessee. July 27, 1959 9 McCanless 451 205 Tenn. 451
Extracted from page: 20
","Prince v. Prince, 205 Tenn. 451, 326 S.W.2d 908, 9 McCanless 451 (Tenn. July 27, 1959)
","July 27, 1959",Tennessee,Overruled by," 1.  Davis v. Davis  
657 S.W.2d 753 , Tenn.
","Oct. 03, 1983"
"Supreme Court of Tennessee. January 23, 1959 8 McCanless 427 204 Tenn. 427
Extracted from page: 21
","Sherrill v. State, 204 Tenn. 427, 321 S.W.2d 811, 8 McCanless 427 (Tenn. Jan. 23, 1959)
","Jan. 23, 1959",Tennessee,Overruled by," 1.  State v. Collier  
411 S.W.3d 886 , Tenn. , (NO. W2010-01606-SC-R11CD )
","Aug. 12, 2013"
"Supreme Court of Tennessee. May 01, 1959 8 McCanless 624 204 Tenn. 624
Extracted from page: 21
","Dupuy v. State, 204 Tenn. 624, 325 S.W.2d 238, 8 McCanless 624 (Tenn. May 01, 1959)
","May 01, 1959",Tennessee,Abrogated by," 1.  State v. Reeves  
916 S.W.2d 909 , 107 Ed. Law Rep. 1054 , Tenn. , (NO. 02S01-9502-CV-00015 )
","Feb. 26, 1996"
"Supreme Court of Tennessee. May 07, 1979 581 S.W.2d 645
Extracted from page: 22
","Kellwood Co. v. Gibson, 581 S.W.2d 645 (Tenn. May 07, 1979)
","May 07, 1979",Tennessee,Abrogated by," 1.  Lollar v. Wal-Mart Stores, Inc. 
767 S.W.2d 143 , 4 A.L.R.5th 1086 , Tenn.
","Feb. 21, 1989"
"Supreme Court of Tennessee. July 30, 1979 584 S.W.2d 779
Extracted from page: 23
","Quality Care of Nashville v. Waller, 584 S.W.2d 779 (Tenn. July 30, 1979)
","July 30, 1979",Tennessee,Abrogated by," 1.  Lollar v. Wal-Mart Stores, Inc.  
767 S.W.2d 143 , 4 A.L.R.5th 1086 , Tenn.
","Feb. 21, 1989"
