DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Missouri. September 01, 1825 1 Mo. 537 1825 WL 1440
Extracted from page: 29
","Charless v. Marney, 1 Mo. 537, 1825 WL 1440 (Mo. Sep. 01, 1825)
","Sep. 01, 1825",Missouri,Abrogated by," 1.  Davis v. Wood 
7 Mo. 162 , 1841 WL 3141 , Mo.
","Sep. 01, 1841"
"Supreme Court of Missouri. May 01, 1838 5 Mo. 360 1838 WL 2528
Extracted from page: 29
","State v. Hunter, 5 Mo. 360, 1838 WL 2528 (Mo. May 01, 1838)
","May 01, 1838",Missouri,Overruled by," 1.  State v. Cox 
32 Mo. 566 , 1862 WL 3098 , Mo.
","July 01, 1862"
"Supreme Court of Missouri. May 01, 1838 5 Mo. 425 1838 WL 2536
Extracted from page: 29
","Milsap v. Wildman, 5 Mo. 425, 1838 WL 2536 (Mo. May 01, 1838)
","May 01, 1838",Missouri,Overruled by," 1.  Sutton v. Cole 
55 S.W. 1052 , 155 Mo. 206 , Mo.
","Mar. 14, 1900"
"Supreme Court of Missouri. August 01, 1838 5 Mo. 469 1838 WL 2541
Extracted from page: 29
","Erwin v. Henry, 5 Mo. 469, 1838 WL 2541 (Mo. Aug. 01, 1838)
","Aug. 01, 1838",Missouri,Overruled by," 1.  Miller v. Woodward 
8 Mo. 169 , 1843 WL 4017 , Mo.
","July 01, 1843"
"Supreme Court of Missouri. May 01, 1835 4 Mo. 18 1835 WL 2093
Extracted from page: 30
","Foster v. Nowlin, 4 Mo. 18, 1835 WL 2093 (Mo. May 01, 1835)
","May 01, 1835",Missouri,Abrogated by," 1.  Turner v. Belden 
9 Mo. 797 , 1846 WL 3745 , Mo.
","June 15, 1846"
"Supreme Court of Missouri. April 01, 1834 3 Mo. 290 1834 WL 2532
Extracted from page: 30
","Sibly v. Hood, 3 Mo. 290, 1834 WL 2532 (Mo. Apr. 01, 1834)
","Apr. 01, 1834",Missouri,Overruled by," 1.  Shepherd v. Trigg 
7 Mo. 151 , 1841 WL 3202 , Mo.
","Sep. 01, 1841"
"Supreme Court of Missouri. October 01, 1830 2 Mo. 231 1830 WL 2464
Extracted from page: 30
","Foster v. Wallace, 2 Mo. 231, 1830 WL 2464 (Mo. Oct. 01, 1830)
","Oct. 01, 1830",Missouri,Overruled by," 1.  Shepherd v. Trigg 
7 Mo. 151 , 1841 WL 3202 , Mo.
","Sep. 01, 1841"
"17, 1926 315 Mo. 84 285 S.W. 501
Extracted from page: 31
","State ex rel. Schuler v. Nolte, No. 26946, 315 Mo. 84, 285 S.W. 501 (Mo. June 17, 1926)
","June 17, 1926",Missouri,Overruled by," 1.  City of St. Louis v. Butler Co. 
219 S.W.2d 372 , 358 Mo. 1221 , Mo. , (NO. 40868 )
","Apr. 11, 1949"
"21, 1926 314 Mo. 373 284 S.W. 464
Extracted from page: 33
","State ex rel. Columbia Nat. Bank of Kansas City v. Davis, No. 26139, 314 Mo. 373, 284 S.W. 464 (Mo. May 21, 1926)
","May 21, 1926",Missouri,Abrogated by," 1.  State ex rel. Webb v. Satz 
561 S.W.2d 113 , Mo. , (NO. 60231 , 60269 )
","Feb. 08, 1978"
"1. October 11, 1926 287 S.W. 634
Extracted from page: 34
","Lewellen v. Haynie, No. 25194, 287 S.W. 634 (Mo. Oct. 11, 1926)
","Oct. 11, 1926",Missouri,Abrogated by," 1.  Thomas v. Siddiqui 
869 S.W.2d 740 , Mo. , (NO. 75837 )
","Jan. 25, 1994"
"1. March 05, 1923 297 Mo. 677 249 S.W. 917
Extracted from page: 38
","Petet v. McClanahan, No. 23077, 297 Mo. 677, 249 S.W. 917 (Mo. Mar. 05, 1923)
","Mar. 05, 1923",Missouri,Overruled by," 1.  Barker v. St. Louis County  
104 S.W.2d 371 , 340 Mo. 986 , Mo. , (NO. 34332 )
","Mar. 17, 1937"
"1. June 08, 1923 300 Mo. 279 253 S.W. 1029
Extracted from page: 40
","Eicks v. Fidelity & Cas. Co. of New York, No. 23474, 300 Mo. 279, 253 S.W. 1029 (Mo. June 08, 1923)
","June 08, 1923",Missouri,Overruled by," 1.  Caldwell v. Travelers’ Ins. Co. 
267 S.W. 907 , 305 Mo. 619 , 39 A.L.R. 56 , Mo. , (NO. 23895 )
","Nov. 25, 1924"
"1. December 07, 1891 107 Mo. 314 17 S.W. 797
Extracted from page: 41
","Schaeffer v. Beldsmeier, 107 Mo. 314, 17 S.W. 797 (Mo. Dec. 07, 1891)
","Dec. 07, 1891",Missouri,Overruled by," 1.  Bank of Versailles v. Guthrey 
29 S.W. 1004 , 127 Mo. 189 , 48 Am.St.Rep. 621 , Mo.
","Mar. 05, 1895"
"1. March 23, 1891 103 Mo. 615 15 S.W. 981
Extracted from page: 43
","Sauter v. Leveridge, 103 Mo. 615, 15 S.W. 981 (Mo. Mar. 23, 1891)
","Mar. 23, 1891",Missouri,Overruled by," 1.  Shohoney v. Quincy, O. & K.C. Ry. Co. 
122 S.W. 1025 , 223 Mo. 649 , Mo.
","Nov. 27, 1909"
