DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of New Hampshire. December 07, 1971 111 N.H. 353 284 A.2d 910
Extracted from page: 21
","Loney v. Parsons, No. 6122, 111 N.H. 353, 284 A.2d 910 (N.H. Dec. 07, 1971)
","Dec. 07, 1971",NewHampshire,Abrogated by," 1.  Daigle v. City of Portsmouth 
534 A.2d 689 , 129 N.H. 561 , N.H. , (NO. 85-029 , 86-129 )
","Aug. 06, 1987"
"Supreme Court of New Hampshire. July 21, 1965 106 N.H. 364 212 A.2d 703
Extracted from page: 23
","Maryland Cas. Co. v. Coman, 106 N.H. 364, 212 A.2d 703 (N.H. July 21, 1965)
","July 21, 1965",NewHampshire,Overruled by," 1.  Vigneault v. Travelers Ins. Co. 
382 A.2d 910 , 118 N.H. 75 , N.H. , (NO. 7757 )
","Feb. 03, 1978"
"Supreme Court of New Hampshire. March 31, 1965 106 N.H. 225 208 A.2d 456
Extracted from page: 23
","State v. Doucet, 106 N.H. 225, 208 A.2d 456 (N.H. Mar. 31, 1965)
","Mar. 31, 1965",NewHampshire,Overruled by,"    1.  State v. LeBaron 
808 A.2d 541 , 148 N.H. 226 , N.H. , (NO. 2000-634 )
","Aug. 19, 2002"
"Supreme Court of New Hampshire. October 29, 1965 106 N.H. 470 214 A.2d 553
Extracted from page: 23
","Levesque v. Town of Hudson, 106 N.H. 470, 214 A.2d 553 (N.H. Oct. 29, 1965)
","Oct. 29, 1965",NewHampshire,Overruled by," 1.  Winslow v. Town of Holderness Planning Bd. 
480 A.2d 114 , 125 N.H. 262 , N.H. , (NO. 83-129 )
","July 26, 1984"
"Supreme Court of New Hampshire. October 05, 1965 106 N.H. 422 213 A.2d 420
Extracted from page: 24
","Maryland Cas. Co. v. Howe, 106 N.H. 422, 213 A.2d 420 (N.H. Oct. 05, 1965)
","Oct. 05, 1965",NewHampshire,Overruled by," 1.  Vigneault v. Travelers Ins. Co.
382 A.2d 910 , 118 N.H. 75 , N.H. , (NO. 7757 )
","Feb. 03, 1978"
"Supreme Court of New Hampshire. October 05, 1965 106 N.H. 422 213 A.2d 420
Extracted from page: 24
","Maryland Cas. Co. v. Howe, 106 N.H. 422, 213 A.2d 420 (N.H. Oct. 05, 1965)
","Oct. 05, 1965",NewHampshire,Overruled by," 2.  Courtemanche v. Lumbermens Mut. Cas. Co.  
385 A.2d 105 , 118 N.H. 168 , N.H. , (NO. 7758 )
","Mar. 31, 1978"
"Superior Court of Judicature of New Hampshire. January 01, 1857 34 N.H. 454 1857 WL 2748
Extracted from page: 24
","Daniels v. Brown, 34 N.H. 454, 69 Am. Dec. 505, 1857 WL 2748 (N.H. 1857)
","June 15, 1857",NewHampshire,Overruled by," 1.  Pickering v. Moore 
32 A. 828 , 67 N.H. 533 , 31 L.R.A. 698 , 68 Am.St.Rep. 695 , N.H.
","Mar. 16, 1894"
"Superior Court of Judicature of New Hampshire. January 01, 1857 35 N.H. 484 1857 WL 2810
Extracted from page: 25
","Taylor v. Barron, 35 N.H. 484, 1857 WL 2810 (N.H. 1857)
","June 15, 1857",NewHampshire,Overruled by," 1.  Lomas v. Hilliard 
60 N.H. 148 , 1880 WL 10582 , N.H.
","June 15, 1880"
"Superior Court of Judicature of New Hampshire. January 01, 1870 49 N.H. 399 1870 WL 3063
Extracted from page: 29
","State v. Pike, 49 N.H. 399, 6 Am. Rep. 533, 1870 WL 3063 (N.H. 1870)
","June 15, 1870",NewHampshire,Overruled by," 1.  Hardy v. Merrill  
56 N.H. 227 , 1875 WL 4839 , 22 Am.Rep. 441 , N.H.
","June 15, 1875"
"Supreme Court of New Hampshire. February 28, 1975 115 N.H. 84 333 A.2d 446
Extracted from page: 30
","Deem v. Town of Newmarket, No. 7017, 115 N.H. 84, 333 A.2d 446 (N.H. Feb. 28, 1975)
","Feb. 28, 1975",NewHampshire,Overruled by," 1.  Corso v. Merrill 
406 A.2d 300 , 119 N.H. 647 , N.H. , (NO. 78-271 )
","Aug. 20, 1979"
"Supreme Court of New Hampshire. June 05, 1975 115 N.H. 302 339 A.2d 16
Extracted from page: 31
","State v. Novosel, No. 7189, 115 N.H. 302, 339 A.2d 16 (N.H. June 05, 1975)
","June 05, 1975",NewHampshire,Overruled by," 1.  Novosel v. Helgemoe 
384 A.2d 124 , 118 N.H. 115 , N.H. , (NO. 7840 )
","Mar. 10, 1978"
"Supreme Court of New Hampshire. June 30, 1975 115 N.H. 331 341 A.2d 770
Extracted from page: 33
","State v. Conklin, No. 6552, 115 N.H. 331, 341 A.2d 770 (N.H. June 30, 1975)
","June 30, 1975",NewHampshire,Overruled by," 1.  State v. Dayutis  
498 A.2d 325 , 127 N.H. 101 , N.H. , (NO. 83-510 )
","Aug. 15, 1985"
"Supreme Court of New Hampshire. November 13, 1984 125 N.H. 690 484 A.2d 1183
Extracted from page: 34
","In re Estate of Martin, No. 83-480, 125 N.H. 690, 484 A.2d 1183 (N.H. Nov. 13, 1984)
","Nov. 13, 1984",NewHampshire,Abrogated by," 1.  Pennelli v. Town of Pelham  
807 A.2d 1256 , 148 N.H. 365 , N.H. , (NO. 2001-453 )
","Sep. 18, 2002"
"Supreme Court of New Hampshire. March 28, 1984 124 N.H. 622 474 A.2d 568
Extracted from page: 35
","State v. Boire, No. 83-068, 124 N.H. 622, 474 A.2d 568 (N.H. Mar. 28, 1984)
","Mar. 28, 1984",NewHampshire,Overruled by," 1.  State v. French  
776 A.2d 1253 , 146 N.H. 97 , N.H. , (NO. 97-429 )
","Mar. 07, 2001"
"Supreme Court of New Hampshire. July 02, 1984 125 N.H. 133 480 A.2d 55
Extracted from page: 36
","Johnston v. Flatley Realty Investors, No. 83-183, 125 N.H. 133, 480 A.2d 55 (N.H. July 02, 1984)
","July 02, 1984",NewHampshire,Abrogated by," 1.  Daigle v. City of Portsmouth 
534 A.2d 689 , 129 N.H. 561 , N.H. , (NO. 85-029 , 86-129 )
","Aug. 06, 1987"
"Supreme Court of New Hampshire. July 27, 1984 125 N.H. 273 480 A.2d 143
Extracted from page: 36
","Powers v. Town of Hampton, No. 83-262, 125 N.H. 273, 480 A.2d 143 (N.H. July 27, 1984)
","July 27, 1984",NewHampshire,Overruled by," 1.  Boulders at Strafford, LLC v. Town of Strafford 
903 A.2d 1021 , 153 N.H. 633 , N.H. , (NO. 2005-140 )
","June 13, 2006"
"Superior Court of Judicature of New Hampshire. July 01, 1871 51 N.H. 300 1871 WL 8511
Extracted from page: 48
","Flanders v. Town of Colebrook, 51 N.H. 300, 1871 WL 8511 (N.H. 1871)
","June 15, 1871",NewHampshire,Overruled by," 1.  Spaulding v. Town of Groton 
44 A. 88 , 68 N.H. 77 , N.H.
","July 27, 1894"
"Supreme Court of New Hampshire. February 01, 1938 89 N.H. 272 197 A. 330
Extracted from page: 49
","Miltimore v. Milford Motor Co., No. 2915, 89 N.H. 272, 197 A. 330 (N.H. Feb. 01, 1938)
","Feb. 01, 1938",NewHampshire,Overruled by," 1.  Thompson v. Thompson 
193 A.2d 439 , 105 N.H. 86 , 96 A.L.R.2d 969 , N.H.
","July 30, 1963"
"Supreme Court of New Hampshire. April 30, 1957 101 N.H. 13 131 A.2d 438
Extracted from page: 55
","Worrall v. Moran, 101 N.H. 13, 131 A.2d 438 (N.H. Apr. 30, 1957)
","Apr. 30, 1957",NewHampshire,Overruled by," 1.  Dean v. Smith 
211 A.2d 410 , 106 N.H. 314 , N.H.
","June 30, 1965"
"Superior Court of Judicature of New Hampshire. January 01, 1859 38 N.H. 422 1859 WL 3762
Extracted from page: 59
","Hall v. Nute, 38 N.H. 422, 1859 WL 3762 (N.H. 1859)
","June 15, 1859",NewHampshire,Overruled by," 1.  Kennard v. Kennard 
63 N.H. 303 , 1885 WL 3188 , N.H.
","June 15, 1885"
"Superior Court of Judicature of New Hampshire. January 01, 1859 39 N.H. 304 1859 WL 3799
Extracted from page: 59
","Rich v. Flanders, 39 N.H. 304, 1859 WL 3799 (N.H. 1859)
","June 15, 1859",NewHampshire,Overruled by," 1.  Caswell v. Maplewood Garage 
149 A. 746 , 84 N.H. 241 , 73 A.L.R. 433 , N.H.
","Mar. 04, 1930"
"Supreme Court of New Hampshire. January 01, 1879 59 N.H. 31 1879 WL 4129
Extracted from page: 1
","Martin v. Towle, 59 N.H. 31, 1879 WL 4129 (N.H. 1879)
","June 15, 1879",NewHampshire,Overruled by," 1.  Aldrich v. Concord & M.R.R. 
29 A. 408 , 67 N.H. 250 , N.H.
","July 29, 1892"
"Supreme Court of New Hampshire. January 19, 2007 154 N.H. 730 919 A.2d 794
Extracted from page: 9
","State v. Veale, No. 2006-043, 154 N.H. 730, 919 A.2d 794, 2007 WL 120618 (N.H. Jan. 19, 2007)
","Jan. 19, 2007",NewHampshire,Abrogated by," 1.  State v. Thompson  
20 A.3d 242 , 161 N.H. 507 , N.H. , (NO. 2009-345 )
","Feb. 25, 2011"
"Supreme Court of New Hampshire. September 05, 2007 156 N.H. 125 932 A.2d 1
Extracted from page: 9
","State v. O'Maley, No. 2006-013, 156 N.H. 125, 932 A.2d 1, 2007 WL 2534473 (N.H. Sep. 05, 2007)
","Sep. 05, 2007",NewHampshire,Overruled by," 1.  State v. Dilboy  
999 A.2d 1092 , 160 N.H. 135 , N.H. , (NO. 2008-287 )
","Apr. 20, 2010"
"Superior Court of Judicature of New Hampshire. July 01, 1854 9 Fost. 88 29 N.H. 88
Extracted from page: 13
","Cole v. Town of Canaan, 29 N.H. 88, 9 Fost. 88, 1854 WL 4889 (N.H. 1854)
","June 15, 1854",NewHampshire,Overruled by," 1.  Spaulding v. Town of Groton 
44 A. 88 , 68 N.H. 77 , N.H.
","July 27, 1894"
"Superior Court of Judicature of New Hampshire. December 01, 1854 9 Fost. 213 29 N.H. 213
Extracted from page: 13
","Beck v. Hanscom, 29 N.H. 213, 9 Fost. 213, 1854 WL 2365 (N.H. 1854)
","June 15, 1854",NewHampshire,Overruled by," 1.  Attorney General v. Bond 
124 A. 553 , 81 N.H. 269 , N.H. , (NO. 1964 )
","Apr. 01, 1924"
"Supreme Court of New Hampshire. July 02, 1951 97 N.H. 102 81 A.2d 841
Extracted from page: 13
","In re Gay's Estate, 97 N.H. 102, 81 A.2d 841 (N.H. July 02, 1951)
","July 02, 1951",NewHampshire,Overruled by," 1.  In re Byrne’s Estate  
100 A.2d 157 , 98 N.H. 300 , 47 A.L.R.2d 591 , N.H.
","Oct. 30, 1953"
"Supreme Court of New Hampshire. January 30, 1968 108 N.H. 409 238 A.2d 1
Extracted from page: 16
","Ferguson v. City of Keene, No. 5543, 108 N.H. 409, 238 A.2d 1 (N.H. Jan. 30, 1968)
","Jan. 30, 1968",NewHampshire,Overruled by," 1.  Sundell v. Town of New London 
409 A.2d 1315 , 119 N.H. 839 , N.H. , (NO. 79-059 )
","Dec. 12, 1979"
"Supreme Court of New Hampshire. August 23, 1968 109 N.H. 164 245 A.2d 387
Extracted from page: 16
","Atherton v. City of Concord, No. 5751, 109 N.H. 164, 245 A.2d 387 (N.H. Aug. 23, 1968)
","Aug. 23, 1968",NewHampshire,Overruled by," 1.  Totty v. Grantham Planning Bd. 
415 A.2d 687 , 120 N.H. 388 , N.H. , (NO. 79-394 )
","May 22, 1980"
"Supreme Court of New Hampshire. July 01, 1954 99 N.H. 147 106 A.2d 563
Extracted from page: 20
","Levesque v. Levesque, 99 N.H. 147, 106 A.2d 563 (N.H. July 01, 1954)
","July 01, 1954",NewHampshire,Overruled by," 1.  Briere v. Briere 
224 A.2d 588 , 107 N.H. 432 , N.H.
","Nov. 30, 1966"
"Supreme Court of New Hampshire. February 27, 1998 142 N.H. 620 707 A.2d 130
Extracted from page: 22
","State v. Seymour, No. 96-381, 142 N.H. 620, 707 A.2d 130, 1998 WL 80399 (N.H. Feb. 27, 1998)
","Feb. 27, 1998",NewHampshire,Abrogated by," 1.  State v. Quintero  
34 A.3d 612 , 162 N.H. 526 , N.H. , (NO. 2009-832 )
","Oct. 12, 2011"
"Supreme Court of New Hampshire. February 28, 1979 119 N.H. 108 398 A.2d 841
Extracted from page: 26
","Fanny v. Pike Industries, Inc., No. 78-215, 119 N.H. 108, 398 A.2d 841 (N.H. Feb. 28, 1979)
","Feb. 28, 1979",NewHampshire,Overruled by," 1.  Kenison v. Dubois 
879 A.2d 1161 , 152 N.H. 448 , N.H. , (NO. 2004-815 )
","July 18, 2005"
"Supreme Court of New Hampshire. November 14, 1979 119 N.H. 822 409 A.2d 775
Extracted from page: 27
","State Employees' Ass'n of New Hampshire, Inc. v. Cheney, No. 79-121, 119 N.H. 822, 409 A.2d 775, 103 L.R.R.M. (BNA) 2950 (N.H. Nov. 14, 1979)
","Nov. 14, 1979",NewHampshire,Overruled by," 1.  In re State Employees’ Ass’n of New Hampshire  
939 A.2d 209 , 156 N.H. 507 , N.H. , (NO. 2007-112 )
","Dec. 06, 2007"
"Supreme Court of New Hampshire. June 20, 1979 119 N.H. 457 404 A.2d 1094
Extracted from page: 31
","Reid v. Spadone Mach. Co., No. 78-218, 119 N.H. 457, 404 A.2d 1094 (N.H. June 20, 1979)
","June 20, 1979",NewHampshire,Abrogated by," 1.  Daigle v. City of Portsmouth 
534 A.2d 689 , 129 N.H. 561 , N.H. , (NO. 85-029 , 86-129 )
","Aug. 06, 1987"
"Supreme Court of New Hampshire. April 07, 1978 118 N.H. 226 385 A.2d 221
Extracted from page: 33
","Matter of Doe, No. 7899, 118 N.H. 226, 385 A.2d 221 (N.H. Apr. 07, 1978)
","Apr. 07, 1978",NewHampshire,Overruled by," 1.  State v. Robert H. 
393 A.2d 1387 , 118 N.H. 713 , N.H. , (NO. 78-090 )
","Oct. 30, 1978"
"Supreme Court of New Hampshire. December 29, 1978 118 N.H. 885 397 A.2d 1035
Extracted from page: 35
","State Employees' Ass'n of New Hampshire, Inc. v. New Hampshire Public Employee Labor Relations Bd., No. 7836, 118 N.H. 885, 397 A.2d 1035, 100 L.R.R.M. (BNA) 2484 (N.H. Dec. 29, 1978)
","Dec. 29, 1978",NewHampshire,Overruled by," 1.  Appeal of State  
647 A.2d 1302 , 138 N.H. 716 , 148 L.R.R.M. (BNA) 2423 , N.H. , (NO. 93-001 )
","July 27, 1994"
"Supreme Court of New Hampshire. October 30, 1978 118 N.H. 713 393 A.2d 1387
Extracted from page: 36
","State v. Robert H., No. 78-090, 118 N.H. 713, 393 A.2d 1387 (N.H. Oct. 30, 1978)
","Oct. 30, 1978",NewHampshire,Overruled by," 1.  In re Craig T.  
800 A.2d 819 , 147 N.H. 739 , N.H. , (NO. 2000-748 )
","May 24, 2002"
"Supreme Court of New Hampshire. October 30, 1978 118 N.H. 713 393 A.2d 1387
Extracted from page: 36
","State v. Robert H., No. 78-090, 118 N.H. 713, 393 A.2d 1387 (N.H. Oct. 30, 1978)
","Oct. 30, 1978",NewHampshire,Disavowed by," 2.  In re Tricia and Trixie H. 
493 A.2d 1146 , 126 N.H. 418 , N.H. , (NO. 83-529 )
","Apr. 19, 1985"
"Supreme Court of New Hampshire. June 27, 1978 118 N.H. 469 387 A.2d 1171
Extracted from page: 37
","Commercial Union Assur. Companies v. Town of Derry, No. 7959, 118 N.H. 469, 387 A.2d 1171 (N.H. June 27, 1978)
","June 27, 1978",NewHampshire,Overruled by," 1.  American Home Assur. Co. v. Fish 
451 A.2d 358 , 122 N.H. 711 , N.H. , (NO. 81-280 , 81-290 )
","Aug. 06, 1982"
"Supreme Court of New Hampshire. April 09, 2001 146 N.H. 258 770 A.2d 702
Extracted from page: 40
","State v. Gordon, No. 98-805, 146 N.H. 258, 770 A.2d 702, 2001 WL 336442 (N.H. Apr. 09, 2001)
","Apr. 09, 2001",NewHampshire,Overruled by," 1.  State v. Miller  
921 A.2d 942 , 155 N.H. 246 , N.H. , (NO. 2005-775 )
","Apr. 18, 2007"
"Superior Court of Judicature of New Hampshire. January 01, 1821 2 N.H. 421 1821 WL 472
Extracted from page: 46
","Flanders v. Thompson, 2 N.H. 421, 1821 WL 472 (N.H. 1821)
","June 15, 1821",NewHampshire,Overruled by," 1.  Banks v. Johnson 
12 N.H. 445 , 1841 WL 1956 , N.H.
","June 15, 1841"
"Superior Court of Judicature of New Hampshire. January 01, 1817 1 N.H. 60 1817 WL 457
Extracted from page: 46
","Houghton v. Page, 1 N.H. 60, 1817 WL 457 (N.H. 1817)
","June 15, 1817",NewHampshire,Overruled by," 1.  Haines v. Dennett 
11 N.H. 180 , 1840 WL 3024 , N.H.
","June 15, 1840"
"Superior Court of Judicature of New Hampshire. February 01, 1817 1 N.H. 33 1817 WL 449
Extracted from page: 47
","Tilton v. Gordon, 1 N.H. 33, 1817 WL 449 (N.H. 1817)
","June 15, 1817",NewHampshire,Overruled by," 1.  Snow v. Prescott 
12 N.H. 535 , 1842 WL 2081 , N.H.
","June 15, 1842"
"Superior Court of Judicature of New Hampshire. January 01, 1832 5 N.H. 558 1832 WL 1226
Extracted from page: 47
","Dudley v. Cilley, 5 N.H. 558, 1832 WL 1226 (N.H. 1832)
","June 15, 1832",NewHampshire,Overruled by," 1.  State v. Town of Richmond 
6 Fost. 232 , 26 N.H. 232 , 1853 WL 2418 , N.H.
","June 15, 1853"
"Superior Court of Judicature of New Hampshire. January 01, 1819 2 N.H. 51 1819 WL 480
Extracted from page: 48
","Wright v. Steele, 2 N.H. 51, 1819 WL 480 (N.H. 1819)
","June 15, 1819",NewHampshire,Overruled by," 1.  Merriam v. Wilkins 
6 N.H. 432 , 1833 WL 2720 , 25 Am.Dec. 472 , N.H.
","June 15, 1833"
"Superior Court of Judicature of New Hampshire. January 01, 1824 3 N.H. 130 1824 WL 675
Extracted from page: 48
","Eames v. Carlisle, 3 N.H. 130, 1824 WL 675 (N.H. 1824)
","June 15, 1824",NewHampshire,Overruled by," 1.  Lyford v. Bryant 
38 N.H. 88 , 1859 WL 3720 , N.H.
","June 15, 1859"
"Superior Court of Judicature of New Hampshire. January 01, 1824 3 N.H. 41 1824 WL 640
Extracted from page: 48
","Cogswell v. Tibbetts, 3 N.H. 41, 1824 WL 640 (N.H. 1824)
","June 15, 1824",NewHampshire,Abrogated by," 1.  Southern New Hampshire Medical Center v. Hayes 
992 A.2d 596 , 159 N.H. 711 , N.H. , (NO. 2008-844 )
","Feb. 11, 2010"
"Superior Court of Judicature of New Hampshire. January 01, 1848 19 N.H. 233 1848 WL 2084
Extracted from page: 49
","Varney v. French, 19 N.H. 233, 1848 WL 2084 (N.H. 1848)
","June 15, 1848",NewHampshire,Overruled by," 1.  Brown v. Teel  
236 A.2d 699 , 108 N.H. 365 , N.H. , (NO. 5620 )
","Dec. 29, 1967"
"Superior Court of Judicature of New Hampshire. January 01, 1826 3 N.H. 335 1826 WL 471
Extracted from page: 50
","Prichard v. Atkinson, 3 N.H. 335, 1826 WL 471 (N.H. 1826)
","June 15, 1826",NewHampshire,Overruled by," 1.  State v. Town of Richmond 
6 Fost. 232 , 26 N.H. 232 , 1853 WL 2418 , N.H.
","June 15, 1853"
"Superior Court of Judicature of New Hampshire. January 01, 1820 2 N.H. 193 1820 WL 356
Extracted from page: 50
","Hilton v. Burley, 2 N.H. 193, 1820 WL 356 (N.H. 1820)
","June 15, 1820",NewHampshire,Overruled by," 1.  Caldwell v. Wentworth 
14 N.H. 431 , 1843 WL 2161 , N.H.
","June 15, 1843"
"Supreme Court of New Hampshire. April 05, 1927 83 N.H. 29 137 A. 445
Extracted from page: 52
","McCarthy v. Souther, 83 N.H. 29, 137 A. 445 (N.H. Apr. 05, 1927)
","Apr. 05, 1927",NewHampshire,Overruled by," 1.  Dane v. MacGregor 
52 A.2d 290 , 94 N.H. 294 , N.H.
","Apr. 01, 1947"
"Supreme Court of New Hampshire. April 05, 1927 83 N.H. 29 137 A. 445
Extracted from page: 52
","McCarthy v. Souther, 83 N.H. 29, 137 A. 445 (N.H. Apr. 05, 1927)
","Apr. 05, 1927",NewHampshire,Overruled by," 2.  Hunter v. R. G. Watkins & Son, Inc. 
265 A.2d 15 , 110 N.H. 243 , N.H. , (NO. 5968 )
","Apr. 30, 1970"
"Supreme Court of New Hampshire. June 28, 1928 83 N.H. 350 143 A. 516
Extracted from page: 54
","Johnson v. Boston & M.R.R., 83 N.H. 350, 143 A. 516, 61 A.L.R. 1178 (N.H. June 28, 1928)
","June 28, 1928",NewHampshire,Overruled by," 1.  Vassillion v. Sullivan  
47 A.2d 115 , 94 N.H. 97 , N.H. , (NO. 3583 )
","May 07, 1946"
"Supreme Court of New Hampshire. October 14, 1981 121 N.H. 894 436 A.2d 1136
Extracted from page: 58
","Park v. Rockwell Intern. Corp., No. 80-199, 121 N.H. 894, 436 A.2d 1136 (N.H. Oct. 14, 1981)
","Oct. 14, 1981",NewHampshire,Overruled by," 1.  Alonzi v. Northeast Generation Services Co.  
940 A.2d 1153 , 156 N.H. 656 , N.H. , (NO. 2007-039 )
","Jan. 15, 2008"
"Supreme Court of New Hampshire. June 26, 1981 121 N.H. 581 432 A.2d 12
Extracted from page: 58
","J. E. D. Associates, Inc. v. Town of Atkinson, No. 80-361, 121 N.H. 581, 432 A.2d 12 (N.H. June 26, 1981)
","June 26, 1981",NewHampshire,Overruled by," 1.  Town of Auburn v. McEvoy  
553 A.2d 317 , 131 N.H. 383 , N.H. , (NO. 88-015 )
","Dec. 30, 1988"
"Supreme Court of New Hampshire. August 10, 1981 121 N.H. 697 433 A.2d 1299
Extracted from page: 60
","State v. Vonklock, No. 80-115, 121 N.H. 697, 433 A.2d 1299 (N.H. Aug. 10, 1981)
","Aug. 10, 1981",NewHampshire,Overruled by," 1.  State v. Smith 
503 A.2d 774 , 127 N.H. 433 , N.H. , (NO. 84-441 )
","Dec. 04, 1985"
