DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Wisconsin. December 11, 1894 89 Wis. 486 61 N.W. 283
Extracted from page: 53
","Nash v. Meggett, 89 Wis. 486, 61 N.W. 283 (Wis. Dec. 11, 1894)
","Dec. 11, 1894",Wisconsin,Overruled by," 1.  Bloomquist v. Better Business Bureau of Milwaukee 
115 N.W.2d 545 , 17 Wis.2d 101 , Wis.
","June 05, 1962"
"Supreme Court of Wisconsin. October 06, 1959 7 Wis.2d 627 98 N.W.2d 468
Extracted from page: 53
","State v. Bronston, 7 Wis. 2d 627, 98 N.W.2d 468 (Wis. Oct. 06, 1959)
","Oct. 06, 1959",Wisconsin,Overruled by," 1.  La Barge v. State 
246 N.W.2d 794 , 74 Wis.2d 327 , Wis. , (NO. 75-563-CR )
","Nov. 16, 1976"
"Supreme Court of Wisconsin. January 02, 1959 6 Wis.2d 38 93 N.W.2d 869
Extracted from page: 55
","Mix v. Farmers Mut. Auto. Ins. Co., 6 Wis. 2d 38, 93 N.W.2d 869 (Wis. Jan. 02, 1959)
","Jan. 02, 1959",Wisconsin,Overruled by," 1.  Lovesee v. Allied Development Corp. 
173 N.W.2d 196 , 45 Wis.2d 340 , Wis. , (NO. 10 )
","Jan. 09, 1970"
"Supreme Court of Wisconsin. December 01, 1959 8 Wis.2d 565 99 N.W.2d 865
Extracted from page: 56
","Klemens v. Badger Mut. Ins. Co. of Milwaukee, 8 Wis. 2d 565, 99 N.W.2d 865 (Wis. Dec. 01, 1959)
","Dec. 01, 1959",Wisconsin,Overruled by," 1.  Hedtcke v. Sentry Ins. Co. 
326 N.W.2d 727 , 109 Wis.2d 461 , Wis. , (NO. 81-552 )
","Nov. 30, 1982"
"March 01, 2022 400 Wis.2d 626 2022 WI 14 2022 WI 14
Extracted from page: 57
","Johnson v. Wisconsin Elections Commission, No. 2021AP1450-OA, 2022 WI 14, 400 Wis. 2d 626, 971 N.W.2d 402, 2022 WL 621082 (Wis. Mar. 01, 2022)
","Mar. 01, 2022",Wisconsin,Overruled by," 1.  Clarke v. Wisconsin Elections Commission 
998 N.W.2d 370 , 2023 WI 79 , Wis. , (NO. 2023AP1399-OA )
","Dec. 22, 2023"
"Supreme Court of Wisconsin. March 01, 2016 367 Wis.2d 221 2016 WI 14 2016 WI 14
Extracted from page: 60
","Wisconsin Pharmacal Co., LLC v. Nebraska Cultures of California, Inc., No. 2013AP613, 2016 WI 14, 367 Wis. 2d 221, 876 N.W.2d 72, 2016 WL 785203 (Wis. Mar. 01, 2016)
","Mar. 01, 2016",Wisconsin,Overruled by," 1.  5 Walworth, LLC v. Engerman Contracting, Inc.  
992 N.W.2d 31 , 408 Wis.2d 39 , 2023 WI 51 , Wis. , (NO. 2019AP1085 , 2019AP1086 )
","June 20, 2023"
"Supreme Court of Wisconsin. May 11, 1995 192 Wis.2d 870 532 N.W.2d 423
Extracted from page: 1
","State v. Avila, No. 93-2794-CR, 192 Wis. 2d 870, 532 N.W.2d 423, 1995 WL 289700 (Wis. May 11, 1995)
","May 11, 1995",Wisconsin,Overruled by," 1.  State v. Gordon  
663 N.W.2d 765 , 262 Wis.2d 380 , 2003 WI 69 , Wis. , (NO. 01-1679-CR )
","June 27, 2003"
"Supreme Court of Wisconsin. October 24, 1995 196 Wis.2d 650 539 N.W.2d 98
Extracted from page: 2
","Harnischfeger Corp. v. Labor and Industry Review Com'n, No. 93-0947, 196 Wis. 2d 650, 539 N.W.2d 98, 1995 WL 619731 (Wis. Oct. 24, 1995)
","Oct. 24, 1995",Wisconsin,Abrogated by," 1.  Tetra Tech EC, Inc. v. Wisconsin Department of Revenue  
914 N.W.2d 21 , 382 Wis.2d 496 , 2018 WI 75 , Wis. , (NO. 2015AP2019 )
","June 26, 2018"
"Supreme Court of Wisconsin. June 07, 1995 193 Wis.2d 234 533 N.W.2d 167
Extracted from page: 4
","State v. Wolverton, No. 93-3268-CR, 193 Wis. 2d 234, 533 N.W.2d 167, 1995 WL 348042 (Wis. June 07, 1995)
","June 07, 1995",Wisconsin,Abrogated by," 1.  State v. Dubose  
699 N.W.2d 582 , 285 Wis.2d 143 , 2005 WI 126 , Wis. , (NO. 2003AP1690-CR )
","July 14, 2005"
"Supreme Court of Wisconsin. June 01, 1994 184 Wis.2d 178 515 N.W.2d 888
Extracted from page: 10
","State Dept. of Natural Resources v. City of Waukesha, No. 92-2530, 184 Wis. 2d 178, 515 N.W.2d 888, 53 A.L.R.5th 889, 1994 WL 239223 (Wis. June 01, 1994)
","June 01, 1994",Wisconsin,Abrogated by," 1.  State ex rel. Auchinleck v. Town of LaGrange 
547 N.W.2d 587 , 200 Wis.2d 585 , Wis. , (NO. 94-2809 , 94-2887 )
","May 08, 1996"
