DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Arkansas. April 28, 1997 328 Ark. 321 944 S.W.2d 87
Extracted from page: 10
","Sonny v. Balch Motor Co., No. 96-384, 328 Ark. 321, 944 S.W.2d 87, 1997 WL 203672 (Ark. Apr. 28, 1997)
","Apr. 28, 1997",Arkansas,Overruled by," 1.  MacKintrush v. State 
978 S.W.2d 293 , 334 Ark. 390 , Ark. , (NO. CR 98-019 )
","Oct. 01, 1998"
"Supreme Court of Arkansas. June 16, 1997 329 Ark. 91 947 S.W.2d 745
Extracted from page: 12
","Houston v. Knoedl, No. 96-1531, 329 Ark. 91, 947 S.W.2d 745, 1997 WL 352379 (Ark. June 16, 1997)
","June 16, 1997",Arkansas,Overruled by," 1.  McCourt Mfg. Corp. v. Rycroft 
322 S.W.3d 491 , 2009 Ark. 332 , Ark. , (NO. 08-653 )
","June 04, 2009"
"Supreme Court of Arkansas. October 23, 1997 330 Ark. 324 955 S.W.2d 489
Extracted from page: 12
","Lammers v. State, No. CR 97-417, 330 Ark. 324, 955 S.W.2d 489, 1997 WL 659824 (Ark. Oct. 23, 1997)
","Oct. 23, 1997",Arkansas,Overruled by," 1.  MacKintrush v. State 
978 S.W.2d 293 , 334 Ark. 390 , Ark. , (NO. CR 98-019 )
","Oct. 01, 1998"
"Supreme Court of Arkansas. September 18, 1997 329 Ark. 554 953 S.W.2d 32
Extracted from page: 13
","Roseby v. State, No. CR97-122, 329 Ark. 554, 953 S.W.2d 32, 1997 WL 577712 (Ark. Sep. 18, 1997)
","Sep. 18, 1997",Arkansas,Overruled by," 1.  MacKintrush v. State 
978 S.W.2d 293 , 334 Ark. 390 , Ark. , (NO. CR 98-019 )
","Oct. 01, 1998"
"Supreme Court of Arkansas. April 28, 1997 328 Ark. 278 943 S.W.2d 559
Extracted from page: 15
","Morrison v. Jennings, No. 96-1453, 328 Ark. 278, 943 S.W.2d 559, 1997 WL 203660 (Ark. Apr. 28, 1997)
","Apr. 28, 1997",Arkansas,Overruled by," 1.  Hardin v. Bishop 
430 S.W.3d 49 , 2013 Ark. 395 , Ark. , (NO. CV-12-1037 )
","Oct. 10, 2013"
"Supreme Court of Arkansas. July 10, 1916 125 Ark. 163 188 S.W. 4
Extracted from page: 19
","Martin v. Reynolds, No. 126, 125 Ark. 163, 188 S.W. 4 (Ark. July 10, 1916)
","July 10, 1916",Arkansas,Overruled by," 1.  Curtis v. Hopson 
191 S.W. 951 , 127 Ark. 344 , Ark. , (NO. 140 )
","Feb. 05, 1917"
"Supreme Court of Arkansas. November 04, 1996 326 Ark. 495 932 S.W.2d 755
Extracted from page: 23
","State, Dept. of Finance and Admin. v. Tedder, No. 96-429, 326 Ark. 495, 932 S.W.2d 755, 1996 WL 634243 (Ark. Nov. 04, 1996)
","Nov. 04, 1996",Arkansas,Overruled by," 1.  Board of Trustees of University of Arkansas v. Andrews 
535 S.W.3d 616 , 2018 Ark. 12 , 27 Wage & Hour Cas.2d (BNA) 1036 , Ark. , (NO. CV-17-168 )
","Jan. 18, 2018"
"Supreme Court of Arkansas. June 24, 1996 324 Ark. 332 924 S.W.2d 464
Extracted from page: 24
","McAdams v. Automotive Rentals, Inc., No. 96-85, 324 Ark. 332, 924 S.W.2d 464, 1996 WL 368833 (Ark. June 24, 1996)
","June 24, 1996",Arkansas,Overruled by," 1.  Cloird v. State 
99 S.W.3d 419 , 352 Ark. 190 , Ark. , (NO. CR 93-284 )
","Mar. 06, 2003"
"Supreme Court of Arkansas. May 06, 1996 324 Ark. 328 920 S.W.2d 843
Extracted from page: 26
","Mayo v. State, No. CR 95-802, 324 Ark. 328, 920 S.W.2d 843, 1996 WL 240022 (Ark. May 06, 1996)
","May 06, 1996",Arkansas,Overruled by," 1.  Johnson v. State  
28 S.W.3d 286 , 342 Ark. 357 , Ark. , (NO. CR 00-476 )
","Oct. 12, 2000"
"Supreme Court of Arkansas. April 22, 1996 324 Ark. 217 919 S.W.2d 507
Extracted from page: 28
","Ewing v. Cargill, Inc., No. 95-389, 324 Ark. 217, 919 S.W.2d 507, 1996 WL 199565 (Ark. Apr. 22, 1996)
","Apr. 22, 1996",Arkansas,Overruled by," 1.  United Ins. Co. of America v. Murphy 
961 S.W.2d 752 , 331 Ark. 364 , 13 IER Cases 1316 , Ark. , (NO. 97-234 )
","Feb. 12, 1998"
"Supreme Court of Arkansas. November 27, 1933 188 Ark. 224 66 S.W.2d 286
Extracted from page: 1
","Fairbank v. Douglas, No. 4-3190, 188 Ark. 224, 66 S.W.2d 286 (Ark. Nov. 27, 1933)
","Nov. 27, 1933",Arkansas,Overruled by," 1.  Dowell v. Land 
188 S.W.2d 134 , 208 Ark. 908 , Ark. , (NO. 4-7671 )
","June 11, 1945"
"Supreme Court of Arkansas. October 12, 1931 184 Ark. 381 42 S.W.2d 383
Extracted from page: 1
","City of Little Rock v. Holland, No. 147, 184 Ark. 381, 42 S.W.2d 383 (Ark. Oct. 12, 1931)
","Oct. 12, 1931",Arkansas,Overruled by," 1.  Parish v. Pitts 
429 S.W.2d 45 , 244 Ark. 1239 , Ark. , (NO. 5-4134 )
","June 03, 1968"
"Supreme Court of Arkansas. October 05, 1931 184 Ark. 289 42 S.W.2d 225
Extracted from page: 1
","Thomas v. Sewell, No. 128, 184 Ark. 289, 42 S.W.2d 225 (Ark. Oct. 05, 1931)
","Oct. 05, 1931",Arkansas,Overruled by," 1.  Davis v. Waller 
379 S.W.2d 283 , 238 Ark. 300 , Ark. , (NO. 5-3321 )
","June 01, 1964"
"Supreme Court of Arkansas. November 02, 1931 184 Ark. 550 42 S.W.2d 1002
Extracted from page: 1
","Rose v. W.B. Worthen Co., No. 185, 184 Ark. 550, 42 S.W.2d 1002 (Ark. Nov. 02, 1931)
","Nov. 02, 1931",Arkansas,Overruled by," 1.  Rightsell v. Carpenter 
64 S.W.2d 101 , 188 Ark. 21 , Ark. , (NO. 4-3148 )
","Oct. 16, 1933"
"Supreme Court of Arkansas. February 02, 1931 183 Ark. 40 34 S.W.2d 1069
Extracted from page: 2
","Metzger v. Mann, No. 120, 183 Ark. 40, 34 S.W.2d 1069 (Ark. Feb. 02, 1931)
","Feb. 02, 1931",Arkansas,Overruled by," 1.  Anheuser-Busch v. Manion 
100 S.W.2d 672 , 193 Ark. 405 , Ark. , (NO. 4-4494 )
","Jan. 11, 1937"
"Supreme Court of Arkansas. April 13, 1931 183 Ark. 601 37 S.W.2d 694
Extracted from page: 4
","Yockey v. St. Louis-San Francisco Ry. Co., No. 242, 183 Ark. 601, 37 S.W.2d 694 (Ark. Apr. 13, 1931)
","Apr. 13, 1931",Arkansas,Overruled by," 1.  Malone & Hyde, Inc. v. Chisley 
825 S.W.2d 558 , 308 Ark. 308 , Ark. , (NO. 91-237 )
","Feb. 10, 1992"
"Supreme Court of Arkansas. January 19, 1931 182 Ark. 1110 34 S.W.2d 1063
Extracted from page: 6
","Board of Ed. of Ouachita County v. Morgan, No. 93, 182 Ark. 1110, 34 S.W.2d 1063 (Ark. Jan. 19, 1931)
","Jan. 19, 1931",Arkansas,Overruled by," 1.  Hartwick v. Thorne 
780 S.W.2d 531 , 300 Ark. 502 , Ark. , (NO. 89-109 )
","Dec. 04, 1989"
"Supreme Court of Arkansas. December 02, 1929 180 Ark. 559 21 S.W.2d 971
Extracted from page: 6
","St. Louis S. W. Ry. Co. v. Vaughan, No. 23, 180 Ark. 559, 21 S.W.2d 971 (Ark. Dec. 02, 1929)
","Dec. 02, 1929",Arkansas,Overruled by," 1.  Missouri Pac. R. Co. v. Vaughan 
286 S.W.2d 6 , 225 Ark. 848 , Ark. , (NO. 5-755 )
","Jan. 23, 1956"
"Supreme Court of Arkansas. January 21, 1929 178 Ark. 921 12 S.W.2d 890
Extracted from page: 8
","Simpson v. Smith Sav. Soc., No. 107, 178 Ark. 921, 12 S.W.2d 890 (Ark. Jan. 21, 1929)
","Jan. 21, 1929",Arkansas,Overruled by," 1.  O’Brien v. Atlas Finance Co. 
264 S.W.2d 839 , 223 Ark. 176 , Ark. , (NO. 5-282 )
","Feb. 22, 1954"
"Supreme Court of Arkansas. November 07, 1988 297 Ark. 44 759 S.W.2d 546
Extracted from page: 10
","Helms v. State, No. CR88-106, 297 Ark. 44, 759 S.W.2d 546, 1988 WL 119565 (Ark. Nov. 07, 1988)
","Nov. 07, 1988",Arkansas,Overruled by," 1.  Grable v. State  
769 S.W.2d 9 , 298 Ark. 489 , Ark. , (NO. CR89-68 )
","May 01, 1989"
"Supreme Court of Arkansas. November 07, 1988 297 Ark. 44 759 S.W.2d 546
Extracted from page: 10
","Helms v. State, No. CR88-106, 297 Ark. 44, 759 S.W.2d 546, 1988 WL 119565 (Ark. Nov. 07, 1988)
","Nov. 07, 1988",Arkansas,Abrogated by," 2.  Mitchell v. State
769 S.W.2d 18 , 298 Ark. 536 , Ark. , (NO. CR89-69 )
","May 01, 1989"
"Supreme Court of Arkansas. November 14, 1988 297 Ark. 107 759 S.W.2d 548
Extracted from page: 10
","Rone v. H.R. Hospitality, Inc., No. 88-69, 297 Ark. 107, 759 S.W.2d 548, 1988 WL 122105 (Ark. Nov. 14, 1988)
","Nov. 14, 1988",Arkansas,Overruled by," 1.  Jackson v. Cadillac Cowboy, Inc. 
986 S.W.2d 410 , 337 Ark. 24 , Ark. , (NO. 98-574 )
","Mar. 18, 1999"
"Supreme Court of Arkansas. October 17, 1988 296 Ark. 524 758 S.W.2d 706
Extracted from page: 10
","Davis v. State, No. CR88-103, 296 Ark. 524, 758 S.W.2d 706, 1988 WL 108984 (Ark. Oct. 17, 1988)
","Oct. 17, 1988",Arkansas,Overruled by," 1.  Grable v. State  
769 S.W.2d 9 , 298 Ark. 489 , Ark. , (NO. CR89-68 )
","May 01, 1989"
"Supreme Court of Arkansas. October 17, 1988 296 Ark. 524 758 S.W.2d 706
Extracted from page: 10
","Davis v. State, No. CR88-103, 296 Ark. 524, 758 S.W.2d 706, 1988 WL 108984 (Ark. Oct. 17, 1988)
","Oct. 17, 1988",Arkansas,Abrogated by," 2.  Mitchell v. State
769 S.W.2d 18 , 298 Ark. 536 , Ark. , (NO. CR89-69 )
","May 01, 1989"
"Supreme Court of Arkansas. January 19, 1988 294 Ark. 303 742 S.W.2d 911
Extracted from page: 17
","Bishop v. State, No. CR87-121, 294 Ark. 303, 742 S.W.2d 911, 1988 WL 2919 (Ark. Jan. 19, 1988)
","Jan. 19, 1988",Arkansas,Overruled by," 1.  Matthews v. State 
319 S.W.3d 266 , 2009 Ark. 321 , Ark. , (NO. CR 08-1270 )
","May 28, 2009"
"Supreme Court of Arkansas. May 02, 1988 295 Ark. 341 750 S.W.2d 936
Extracted from page: 18
","Mitchell v. State, No. CR87-155, 295 Ark. 341, 750 S.W.2d 936, 1988 WL 41580 (Ark. May 02, 1988)
","May 02, 1988",Arkansas,Overruled by," 1.  MacKintrush v. State 
978 S.W.2d 293 , 334 Ark. 390 , Ark. , (NO. CR 98-019 )
","Oct. 01, 1998"
