DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Iowa. October 22, 1869 28 Iowa 220 1869 WL 254
Extracted from page: 13
","Gilmore v. Ferguson, 28 Iowa 220, 1869 WL 254 (Iowa Oct. 22, 1869)
","Oct. 22, 1869",Iowa,Overruled by," 1.  State ex rel. Turner v. Younker Bros., Inc.  
210 N.W.2d 550 , Iowa , (NO. 55622 )
","Sep. 19, 1973"
"Supreme Court of Iowa. April 10, 1869 27 Iowa 28 1869 WL 193
Extracted from page: 13
","Hanson v. Vernon, 27 Iowa 28, 1 Am. Rep. 215, 1869 WL 193 (Iowa Apr. 10, 1869)
","Apr. 10, 1869",Iowa,Overruled by," 1.  Stewart v. Board of Sup’rs of Polk County 
30 Iowa 9 , 1870 WL 190 , 1 Am.Rep. 238 , Iowa
","Oct. 08, 1870"
"Supreme Court of Iowa. April 10, 1869 27 Iowa 28 1869 WL 193
Extracted from page: 13
","Hanson v. Vernon, 27 Iowa 28, 1 Am. Rep. 215, 1869 WL 193 (Iowa Apr. 10, 1869)
","Apr. 10, 1869",Iowa,Overruled by," 2.  Bonnifield v. Bidwell 
32 Iowa 149 , 1871 WL 388 , Iowa
","July 27, 1871"
"Supreme Court of Iowa. May 06, 1952 243 Iowa 695 53 N.W.2d 283
Extracted from page: 14
","In re Disinterment of Body of Tow, No. 48098, 243 Iowa 695, 53 N.W.2d 283 (Iowa May 06, 1952)
","May 06, 1952",Iowa,Overruled by," 1.  Life Investors Ins. Co. of America v. Heline  
285 N.W.2d 31 , Iowa , (NO. 62443 )
","Nov. 14, 1979"
"Supreme Court of Iowa. November 11, 1952 244 Iowa 49 55 N.W.2d 565
Extracted from page: 15
","State ex rel. Shaw v. Breon, No. 48033, 244 Iowa 49, 55 N.W.2d 565 (Iowa Nov. 11, 1952)
","Nov. 11, 1952",Iowa,Overruled by," 1.  In Interest of Johnson 
257 N.W.2d 47 , Iowa , (NO. 3-60111 )
","Aug. 31, 1977"
"Supreme Court of Iowa. July 28, 1952 243 Iowa 920 54 N.W.2d 433
Extracted from page: 16
","In re Estate of Miller, No. 48106, 243 Iowa 920, 54 N.W.2d 433, 36 A.L.R.2d 139 (Iowa July 28, 1952)
","July 28, 1952",Iowa,Abrogated by," 1.  Matter of Kern’s Estate 
274 N.W.2d 325 , Iowa , (NO. 61190 )
","Jan. 24, 1979"
"Supreme Court of Iowa. January 27, 1865 20 Iowa 45 1866 WL 110
Extracted from page: 17
","Rheim v. Robbins, 20 Iowa 45, 1866 WL 110 (Iowa Jan. 27, 1866)
","Jan. 27, 1866",Iowa,Overruled by," 1.  Purczell v. Smidt 
21 Iowa 540 , 1866 WL 355 , Iowa
","Dec. 21, 1866"
"Supreme Court of Iowa. April 07, 1865 18 Iowa 280 1865 WL 148
Extracted from page: 17
","Donaldson v. Mississippi & M.R. Co., 18 Iowa 280, 87 Am. Dec. 391, 1865 WL 148 (Iowa Apr. 07, 1865)
","Apr. 07, 1865",Iowa,Overruled by," 1.  Fitzgerald v. Hale
78 N.W.2d 509 , 247 Iowa 1194 , Iowa , (NO. 48964 )
","Sep. 18, 1956"
"Supreme Court of Iowa. April 07, 1865 18 Iowa 280 1865 WL 148
Extracted from page: 17
","Donaldson v. Mississippi & M.R. Co., 18 Iowa 280, 87 Am. Dec. 391, 1865 WL 148 (Iowa Apr. 07, 1865)
","Apr. 07, 1865",Iowa,Overruled by," 2.  Wardlow v. City of Keokuk 
190 N.W.2d 439 , Iowa , (NO. 54175 , 54176 , 54182 )
","Sep. 27, 1971"
"Supreme Court of Iowa. August 15, 1961 252 Iowa 1169 110 N.W.2d 246
Extracted from page: 18
","Corrigan v. Younker Bros., Inc., No. 50191, 252 Iowa 1169, 110 N.W.2d 246 (Iowa Aug. 15, 1961)
","Aug. 15, 1961",Iowa,Overruled by," 1.  Forsberg v. M. L. Parker Co. 
139 N.W.2d 315 , 258 Iowa 513 , Iowa , (NO. 51895 )
","Jan. 11, 1966"
