DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Kansas. January 28, 1950 168 Kan. 493 214 P.2d 328
Extracted from page: 20
","Wright's Estate v. Pizel, No. 37743, 168 Kan. 493, 214 P.2d 328 (Kan. Jan. 28, 1950)
","Jan. 28, 1950",Kansas,Overruled by," 1.  Henry v. Bauder 
518 P.2d 362 , 213 Kan. 751 , Kan. , (NO. 47101 )
","Jan. 26, 1974"
"Supreme Court of Kansas. January 28, 1950 168 Kan. 439 214 P.2d 323
Extracted from page: 21
","Bailey v. Resner, No. 37646, 168 Kan. 439, 214 P.2d 323 (Kan. Jan. 28, 1950)
","Jan. 28, 1950",Kansas,Overruled by," 1.  Henry v. Bauder 
518 P.2d 362 , 213 Kan. 751 , Kan. , (NO. 47101 )
","Jan. 26, 1974"
"Supreme Court of Kansas. August 14, 1962 190 Kan. 261 374 P.2d 53
Extracted from page: 28
","Caylor v. Atchison, T. & S. F. Ry. Co., No. 42469, 190 Kan. 261, 374 P.2d 53 (Kan. Aug. 14, 1962)
","Aug. 14, 1962",Kansas,Overruled by," 1.  Wilson v. Williams  
933 P.2d 757 , 261 Kan. 703 , Kan. , (NO. 73,646 )
","Mar. 07, 1997"
"Supreme Court of Kansas. June 09, 1962 190 Kan. 17 372 P.2d 252
Extracted from page: 29
","Shields v. Fink, No. 42610, 190 Kan. 17, 372 P.2d 252 (Kan. June 09, 1962)
","June 09, 1962",Kansas,Overruled by," 1.  Ingram v. Ingram  
521 P.2d 254 , 214 Kan. 415 , 14 UCC Rep.Serv. 1033 , Kan. , (NO. 47220 )
","Apr. 06, 1974"
"Supreme Court of Kansas. April 09, 1966 196 Kan. 464 413 P.2d 128
Extracted from page: 29
","State v. Walker, No. 44239, 196 Kan. 464, 413 P.2d 128 (Kan. Apr. 09, 1966)
","Apr. 09, 1966",Kansas,Overruled by," 1.  State v. McCarther 
416 P.2d 290 , 197 Kan. 279 , Kan. , (NO. 44417 )
","July 14, 1966"
"Supreme Court of Kansas. March 07, 1970 204 Kan. 802 466 P.2d 299
Extracted from page: 40
","Brown v. Green, No. 45670, 204 Kan. 802, 466 P.2d 299 (Kan. Mar. 07, 1970)
","Mar. 07, 1970",Kansas,Overruled by," 1.  Spruill Motors, Inc. v. Universal Underwriters Ins. Co.  
512 P.2d 403 , 212 Kan. 681 , Kan. , (NO. 46930 )
","July 14, 1973"
"Supreme Court of Kansas. April 11, 1970 205 Kan. 62 468 P.2d 251
Extracted from page: 40
","Westover v. Schaffer, No. 45584, 205 Kan. 62, 468 P.2d 251 (Kan. Apr. 11, 1970)
","Apr. 11, 1970",Kansas,Overruled by," 1.  Henry v. Bauder 
518 P.2d 362 , 213 Kan. 751 , Kan. , (NO. 47101 )
","Jan. 26, 1974"
"Supreme Court of Kansas. March 07, 1970 204 Kan. 658 465 P.2d 938
Extracted from page: 45
","Stratmann v. Stratmann, No. 45544, 204 Kan. 658, 465 P.2d 938 (Kan. Mar. 07, 1970)
","Mar. 07, 1970",Kansas,Overruled by," 1.  Classen v. Federal Land Bank of Wichita  
617 P.2d 1255 , 228 Kan. 426 , 9 A.L.R.4th 1106 , Kan. , (NO. 51542 )
","Oct. 07, 1980"
"Supreme Court of Kansas. January 23, 1971 206 Kan. 347 479 P.2d 811
Extracted from page: 58
","State v. Wade, No. 45780, 206 Kan. 347, 479 P.2d 811 (Kan. Jan. 23, 1971)
","Jan. 23, 1971",Kansas,Overruled by," 1.  State v. Mims 
556 P.2d 387 , 220 Kan. 726 , Kan. , (NO. 48244 )
","Nov. 06, 1976"
"Supreme Court of Kansas. June 12, 1971 207 Kan. 473 486 P.2d 503
Extracted from page: 59
","State v. Crowe, No. 45966, 207 Kan. 473, 486 P.2d 503 (Kan. June 12, 1971)
","June 12, 1971",Kansas,Overruled by," 1.  State v. Mims 
556 P.2d 387 , 220 Kan. 726 , Kan. , (NO. 48244 )
","Nov. 06, 1976"
