DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Supreme Court of Montana. November 30, 1979 184 Mont. 407 603 P.2d 253
Extracted from page: 8
","McGuire v. Armitage, No. 14585, 184 Mont. 407, 603 P.2d 253, 1979 WL 533624 (Mont. Nov. 30, 1979)
","Nov. 30, 1979",Montana,Overruled by," 1.  Ammondson v. Northwestern Corp.  
220 P.3d 1 , 353 Mont. 28 , 2009 MT 331 , Mont. , (NO. DA 07-0243 )
","Oct. 13, 2009"
"Supreme Court of Montana. July 11, 1979 182 Mont. 521 597 P.2d 1146
Extracted from page: 8
","State v. Campbell, No. 14662, 182 Mont. 521, 597 P.2d 1146 (Mont. July 11, 1979)
","July 11, 1979",Montana,Overruled by," 1.  State v. Deserly 
188 P.3d 1057 , 344 Mont. 468 , 2008 MT 242 , Mont. , (NO. DA 07-0143 )
","July 08, 2008"
"Supreme Court of Montana. January 24, 1979 180 Mont. 177 589 P.2d 1000
Extracted from page: 9
","Lyndes v. Scofield, No. 14398, 180 Mont. 177, 589 P.2d 1000 (Mont. Jan. 24, 1979)
","Jan. 24, 1979",Montana,Overruled by," 1.  Craig v. Schell  
975 P.2d 820 , 293 Mont. 323 , 1999 MT 40 , Mont. , (NO. 97-101 )
","Mar. 11, 1999"
"Supreme Court of Montana. April 12, 1979 181 Mont. 242 593 P.2d 43
Extracted from page: 9
","State v. Downing, No. 14394, 181 Mont. 242, 593 P.2d 43 (Mont. Apr. 12, 1979)
","Apr. 12, 1979",Montana,Overruled by," 1.  State v. Docken  
908 P.2d 213 , 274 Mont. 296 , Mont. , (NO. 95-128 )
","Dec. 19, 1995"
"Supreme Court of Montana. July 09, 1979 183 Mont. 29 598 P.2d 198
Extracted from page: 9
","State v. Grimestad, No. 14601, 183 Mont. 29, 598 P.2d 198 (Mont. July 09, 1979)
","July 09, 1979",Montana,Abrogated by," 1.  State v. Cope 
819 P.2d 1280 , 250 Mont. 387 , Mont. , (NO. 91-211 )
","Oct. 30, 1991"
"Supreme Court of Montana. March 23, 1979 181 Mont. 129 592 P.2d 507
Extracted from page: 9
","Head v. Larson, No. 14177, 181 Mont. 129, 592 P.2d 507 (Mont. Mar. 23, 1979)
","Mar. 23, 1979",Montana,Overruled by," 1.  McDanold v. B.N. Transport, Inc. 
679 P.2d 1188 , 208 Mont. 470 , Mont. , (NO. 83-178 )
","Mar. 27, 1984"
"Supreme Court of Montana. December 31, 1979 185 Mont. 63 604 P.2d 332
Extracted from page: 11
","In re Marriage of Adams, No. 14782, 185 Mont. 63, 604 P.2d 332, 1979 WL 588635 (Mont. Dec. 31, 1979)
","Dec. 31, 1979",Montana,Abrogated by," 1.  Dagel v. City of Great Falls 
819 P.2d 186 , 250 Mont. 224 , 124 Lab.Cas. P 57,188 , Mont. , (NO. 91-069 )
","Oct. 10, 1991"
"Supreme Court of Montana. October 31, 1979 184 Mont. 116 602 P.2d 142
Extracted from page: 11
","State v. Dess, No. 14616, 184 Mont. 116, 602 P.2d 142 (Mont. Oct. 31, 1979)
","Oct. 31, 1979",Montana,Abrogated by," 1.  Duckworth v. Eagan 
109 S.Ct. 2875 , 492 U.S. 195 , 106 L.Ed.2d 166 , 57 USLW 4942 , U.S.Ind. , (NO. 88-317 )
","June 26, 1989"
"Supreme Court of Montana. July 23, 1979 183 Mont. 13 597 P.2d 1171
Extracted from page: 12
","State v. Hilton, No. 14608, 183 Mont. 13, 597 P.2d 1171 (Mont. July 23, 1979)
","July 23, 1979",Montana,Overruled by," 1.  State v. Deserly 
188 P.3d 1057 , 344 Mont. 468 , 2008 MT 242 , Mont. , (NO. DA 07-0143 )
","July 08, 2008"
"Supreme Court of Montana. March 12, 1979 181 Mont. 37 591 P.2d 1120
Extracted from page: 13
","Shields v. Pirkle Refrigerated Freightlines, Inc., No. 14087, 181 Mont. 37, 591 P.2d 1120 (Mont. Mar. 12, 1979)
","Mar. 12, 1979",Montana,Overruled by," 1.  Roberts v. Empire Fire and Marine Ins. Co.  
915 P.2d 872 , 276 Mont. 225 , Mont. , (NO. 96-127 )
","Apr. 23, 1996"
