DOCUMENT INFORMATION,PRIMARY CASE INFORMATION,PRIMARY CASE DATE,STATE,TREATMENT,TREATED CASE INFORMATION,TREATED CASE DATE
"Court of Errors and Appeals of New Jersey. September 24, 1943 130 N.J.L. 570 5 Abbotts 570
Extracted from page: 14
","Schireson v. State Board of Medical Examiners, No. 5, 130 N.J.L. 570, 33 A.2d 911, 5 Abbotts 570 (N.J.Err. & App. Sep. 24, 1943)
","& App. Sep. 24, 1943",NewJersey,Overruled by," 1.  Kravis v. Hock 
54 A.2d 778 , 136 N.J.L. 161 , 11 Abbotts 161 , N.J.Err. & App. , (NO. 27 )
","Sep. 12, 1947"
"Court of Errors and Appeals of New Jersey. June 15, 1908 75 N.J.L. 748 46 Vroom 748
Extracted from page: 16
","Tomlinson v. Armour & Co., 75 N.J.L. 748, 70 A. 314, 46 Vroom 748, 19 L.R.A.N.S. 923 (N.J.Err. & App. June 15, 1908)
","& App. June 15, 1908",NewJersey,Overruled by," 1.  Henningsen v. Bloomfield Motors, Inc.  
161 A.2d 69 , 32 N.J. 358 , 75 A.L.R.2d 1 , N.J. , (NO. A-50 )
","May 09, 1960"
"Court of Errors and Appeals of New Jersey. April 17, 1924 100 N.J.L. 177 15 Gummere 177
Extracted from page: 17
","Hackensack Water Co. v. Board of Public Utility Com'rs, No. 20, 100 N.J.L. 177, 124 A. 925, 15 Gummere 177 (N.J.Err. & App. Apr. 17, 1924)
","& App. Apr. 17, 1924",NewJersey,Overruled by," 1.  New Jersey Power & Light Co. v. State Dept. of Public Utilities Bd. of Public Utility Com’rs 
104 A.2d 1 , 15 N.J. 82 , 4 P.U.R.3d 7 , N.J. , (NO. 161192 , A-106 )
","Mar. 29, 1954"
"Court of Errors and Appeals of New Jersey. April 04, 1924 95 N.J. Eq. 661 10 B.Stockton 661
Extracted from page: 19
","Floyd v. Floyd, 95 N.J. Eq. 661, 124 A. 525, 10 B. Stockton 661 (N.J.Err. & App. Apr. 04, 1924)
","& App. Apr. 04, 1924",NewJersey,Overruled by," 1.  Meeker v. Meeker 
243 A.2d 801 , 52 N.J. 59 , N.J. , (NO. A-22 )
","June 03, 1968"
"Court of Errors and Appeals of New Jersey. November 27, 1912 81 N.J. Eq. 173 11 Buchanan 173
Extracted from page: 19
","Day v. Faulks, 81 N.J. Eq. 173, 88 A. 384, 11 Buchanan 173 (N.J.Err. & App. Nov. 27, 1912)
","& App. Nov. 27, 1912",NewJersey,Overruled by," 1.  In re Arens’ Trust 
197 A.2d 1 , 41 N.J. 364 , N.J. , (NO. A-2 )
","Jan. 20, 1964"
"Court of Errors and Appeals of New Jersey. November 19, 1923 95 N.J. Eq. 260 10 B.Stockton 260
Extracted from page: 22
","Miscia v. Miscia, 95 N.J. Eq. 260, 122 A. 823, 10 B. Stockton 260 (N.J.Err. & App. Nov. 19, 1923)
","& App. Nov. 19, 1923",NewJersey,Overruled by," 1.  Oliver v. Oliver 
13 A.2d 310 , 26 Backes 367 , 127 N.J. Eq. 367 , N.J.Err. & App. , (NO. 213 , 214 )
","May 21, 1940"
"10, 1923 94 N.J. Eq. 802 9 B.Stockton 802
Extracted from page: 24
","George A. Mills & Co. v. Hegeman-Harris Co., 94 N.J. Eq. 802, 125 A. 127, 9 B. Stockton 802 (N.J.Err. & App. May 10, 1923)
","& App. May 10, 1923",NewJersey,Overruled by," 1.  Arrow Builders Supply Corp. v. Hudson Terrace Apartments 
105 A.2d 387 , 15 N.J. 418 , N.J. , (NO. A-123 )
","May 17, 1954"
"Court of Errors and Appeals of New Jersey. October 17, 1938 23 Backes 350 124 N.J. Eq. 350
Extracted from page: 27
","McRell v. Kelly, No. 225, 124 N.J. Eq. 350, 1 A.2d 926, 23 Backes 350 (N.J.Err. & App. Oct. 17, 1938)
","& App. Oct. 17, 1938",NewJersey,Overruled by," 1.  Eggers v. Kenny 
104 A.2d 10 , 15 N.J. 107 , N.J. , (NO. A-96 )
","Mar. 29, 1954"
"Court of Errors and Appeals of New Jersey. April 29, 1938 120 N.J.L. 298 35 Gummere 298
Extracted from page: 30
","Strobel Steel Const. Co. v. State Highway Commission, No. 25, 120 N.J.L. 298, 198 A. 774, 35 Gummere 298 (N.J.Err. & App. Apr. 29, 1938)
","& App. Apr. 29, 1938",NewJersey,Overruled by," 1.  P. T. & L. Const. Co. v. Commissioner, Dept. of Transp. 
262 A.2d 195 , 55 N.J. 341 , N.J.
","Mar. 02, 1970"
"Court of Errors and Appeals of New Jersey. May 19, 1930 106 N.J.L. 338 21 Gummere 338
Extracted from page: 34
","State v. King, No. 155, 106 N.J.L. 338, 150 A. 555, 21 Gummere 338 (N.J.Err. & App. May 19, 1930)
","& App. May 19, 1930",NewJersey,Overruled by," 1.  State v. Wolf 
216 A.2d 586 , 46 N.J. 301 , 12 A.L.R.3d 970 , N.J. , (NO. A-64 )
","Jan. 24, 1966"
